,0,1,Exist,Pred,True
0,52,21747,left_only,1,
1,59,19985,left_only,1,
2,62,31783,left_only,1,
3,63,17527,left_only,1,
4,69,18344,left_only,1,
5,79,29354,left_only,1,
6,90,33654,left_only,1,
7,93,26057,left_only,1,
8,95,31435,left_only,1,
9,110,14405,left_only,1,
10,118,23654,left_only,1,
11,124,20873,left_only,1,
12,126,12245,left_only,1,
13,130,4799,left_only,1,
14,148,19547,left_only,1,
15,155,2995,left_only,1,
16,167,26376,left_only,1,
17,172,2853,left_only,1,
18,182,10225,left_only,1,
19,185,7263,left_only,1,
20,189,17036,left_only,1,
21,195,25546,left_only,1,
22,200,11027,left_only,1,
23,211,33326,left_only,1,
24,216,12732,left_only,1,
25,222,10382,left_only,1,
26,229,31226,left_only,1,
27,237,15370,left_only,1,
28,237,28986,left_only,1,
29,250,7596,left_only,1,
30,253,5983,left_only,1,
31,261,4458,left_only,1,
32,269,7451,left_only,1,
33,280,16980,both,,
34,280,31715,both,,
35,287,14365,left_only,1,
36,297,11333,left_only,1,
37,302,33526,left_only,1,
38,303,21896,left_only,1,
39,306,19770,left_only,1,
40,314,14276,left_only,1,
41,322,3245,left_only,1,
42,325,9854,left_only,1,
43,327,28871,left_only,1,
44,351,4320,left_only,1,
45,351,27341,left_only,1,
46,351,30552,left_only,1,
47,360,18997,left_only,1,
48,370,10426,left_only,1,
49,377,12520,left_only,1,
50,384,6172,left_only,1,
51,385,33852,left_only,1,
52,408,24911,left_only,1,
53,411,15891,left_only,1,
54,416,10948,left_only,1,
55,425,5435,left_only,1,
56,432,11738,left_only,1,
57,441,19600,left_only,1,
58,442,17874,left_only,1,
59,458,31369,left_only,1,
60,461,10485,left_only,1,
61,462,31152,left_only,1,
62,485,14108,left_only,1,
63,501,28833,left_only,1,
64,521,20723,left_only,1,
65,525,25560,left_only,1,
66,526,12450,left_only,1,
67,526,20296,left_only,1,
68,535,31396,left_only,1,
69,539,22798,left_only,1,
70,563,641,left_only,1,
71,569,17092,left_only,1,
72,573,30450,left_only,1,
73,577,25952,left_only,1,
74,578,9946,left_only,1,
75,588,15471,left_only,1,
76,589,16097,left_only,1,
77,590,20765,left_only,1,
78,595,20994,left_only,1,
79,602,11144,left_only,1,
80,615,2588,left_only,1,
81,619,9247,left_only,1,
82,627,3176,left_only,1,
83,627,13472,left_only,1,
84,646,9638,left_only,1,
85,654,15270,both,,
86,654,25567,both,,
87,654,29566,both,,
88,666,20420,left_only,1,
89,675,33614,left_only,1,
90,685,20417,left_only,1,
91,685,22460,left_only,1,
92,687,27676,left_only,1,
93,694,26446,left_only,1,
94,701,8358,left_only,1,
95,707,5184,left_only,1,
96,708,12128,left_only,1,
97,717,30160,left_only,1,
98,741,34025,left_only,1,
99,750,29726,left_only,1,
100,791,8171,left_only,1,
101,793,19104,left_only,1,
102,801,20145,left_only,1,
103,802,9094,left_only,1,
104,812,27061,left_only,1,
105,814,19506,left_only,1,
106,838,10226,left_only,1,
107,857,16230,left_only,1,
108,861,30880,left_only,1,
109,863,7391,left_only,1,
110,864,11666,left_only,1,
111,865,135,left_only,1,
112,865,10160,left_only,1,
113,866,11986,left_only,1,
114,867,16168,left_only,1,
115,875,20480,left_only,1,
116,883,18514,left_only,1,
117,890,5842,left_only,1,
118,902,27826,left_only,1,
119,904,17025,left_only,1,
120,907,30520,left_only,1,
121,939,11224,left_only,1,
122,949,31706,left_only,1,
123,958,1249,left_only,1,
124,967,10649,left_only,1,
125,970,18746,left_only,1,
126,977,17965,left_only,1,
127,986,14893,left_only,1,
128,986,22290,left_only,1,
129,988,31182,left_only,1,
130,1007,2145,left_only,1,
131,1009,14947,left_only,1,
132,1017,34211,left_only,1,
133,1024,32049,left_only,1,
134,1044,1000,left_only,1,
135,1046,13663,left_only,1,
136,1074,26726,left_only,1,
137,1082,16206,left_only,1,
138,1090,33913,left_only,1,
139,1099,30505,left_only,1,
140,1107,13450,left_only,1,
141,1118,14265,left_only,1,
142,1134,33928,left_only,1,
143,1143,11010,left_only,1,
144,1183,6860,left_only,1,
145,1185,26391,left_only,1,
146,1193,8927,left_only,1,
147,1199,21758,left_only,1,
148,1226,9990,left_only,1,
149,1227,12661,left_only,1,
150,1227,15721,left_only,1,
151,1231,5015,left_only,1,
152,1235,12446,left_only,1,
153,1242,27881,left_only,1,
154,1248,24409,left_only,1,
155,1250,816,left_only,1,
156,1253,8696,left_only,1,
157,1255,20111,left_only,1,
158,1272,2878,left_only,1,
159,1273,1367,left_only,1,
160,1296,25012,both,,
161,1313,31547,left_only,1,
162,1325,1773,left_only,1,
163,1344,28235,left_only,1,
164,1349,7783,left_only,1,
165,1349,25455,left_only,1,
166,1350,26528,left_only,1,
167,1355,26236,left_only,1,
168,1359,17768,left_only,1,
169,1386,31886,left_only,1,
170,1387,840,left_only,1,
171,1397,14086,left_only,1,
172,1406,19649,left_only,1,
173,1412,27443,left_only,1,
174,1425,15019,left_only,1,
175,1447,12002,left_only,1,
176,1449,17677,left_only,1,
177,1457,7059,left_only,1,
178,1463,28106,left_only,1,
179,1464,28735,left_only,1,
180,1470,30770,left_only,1,
181,1471,26505,left_only,1,
182,1473,9500,left_only,1,
183,1478,18278,left_only,1,
184,1479,13248,left_only,1,
185,1485,15256,left_only,1,
186,1485,26984,left_only,1,
187,1500,6287,left_only,1,
188,1506,32445,left_only,1,
189,1522,11815,left_only,1,
190,1530,30109,left_only,1,
191,1533,32715,left_only,1,
192,1541,15111,left_only,1,
193,1549,23157,left_only,1,
194,1560,21203,left_only,1,
195,1563,3201,left_only,1,
196,1590,29155,left_only,1,
197,1595,17127,left_only,1,
198,1596,19675,left_only,1,
199,1611,2460,left_only,1,
200,1611,22295,left_only,1,
201,1616,2889,left_only,1,
202,1621,12239,left_only,1,
203,1622,3170,left_only,1,
204,1653,16922,left_only,1,
205,1713,11965,left_only,1,
206,1721,16285,left_only,1,
207,1723,19037,left_only,1,
208,1724,22214,left_only,1,
209,1728,13412,left_only,1,
210,1731,46,left_only,1,
211,1734,7519,left_only,1,
212,1735,26220,left_only,1,
213,1743,34772,left_only,1,
214,1752,4447,left_only,1,
215,1753,4222,left_only,1,
216,1760,21979,left_only,1,
217,1761,5490,left_only,1,
218,1761,14992,left_only,1,
219,1763,14874,left_only,1,
220,1774,33481,left_only,1,
221,1778,24176,left_only,1,
222,1778,25451,left_only,1,
223,1780,6377,left_only,1,
224,1785,1052,left_only,1,
225,1797,2216,left_only,1,
226,1818,18081,left_only,1,
227,1819,16711,left_only,1,
228,1822,3010,left_only,1,
229,1822,15261,left_only,1,
230,1840,19037,left_only,1,
231,1843,26323,both,,
232,1843,34898,both,,
233,1846,8350,left_only,1,
234,1864,10097,left_only,1,
235,1871,14021,left_only,1,
236,1876,33593,left_only,1,
237,1882,1120,left_only,1,
238,1883,33993,left_only,1,
239,1894,25583,left_only,1,
240,1896,30369,left_only,1,
241,1898,9591,left_only,1,
242,1898,23270,left_only,1,
243,1908,12927,left_only,1,
244,1913,15293,left_only,1,
245,1915,3775,left_only,1,
246,1915,16786,left_only,1,
247,1919,19517,left_only,1,
248,1920,10253,left_only,1,
249,1920,13177,left_only,1,
250,1927,20607,both,,
251,1930,17398,left_only,1,
252,1936,454,left_only,1,
253,1937,25292,left_only,1,
254,1948,14311,left_only,1,
255,1949,1170,left_only,1,
256,1975,1366,left_only,1,
257,1975,32490,left_only,1,
258,2001,34745,left_only,1,
259,2004,18266,left_only,1,
260,2013,10602,left_only,1,
261,2021,4149,left_only,1,
262,2026,16677,left_only,1,
263,2026,31556,left_only,1,
264,2027,30837,both,,
265,2063,17621,left_only,1,
266,2067,1920,left_only,1,
267,2068,12136,left_only,1,
268,2073,23012,left_only,1,
269,2096,22428,left_only,1,
270,2098,22491,left_only,1,
271,2113,10453,left_only,1,
272,2119,6860,left_only,1,
273,2120,10252,left_only,1,
274,2129,29489,left_only,1,
275,2184,3449,left_only,1,
276,2187,27158,left_only,1,
277,2200,25715,left_only,1,
278,2204,27968,left_only,1,
279,2205,1496,left_only,1,
280,2206,4307,left_only,1,
281,2217,18789,left_only,1,
282,2219,24721,left_only,1,
283,2223,18003,left_only,1,
284,2236,2739,left_only,1,
285,2237,5741,left_only,1,
286,2239,7961,left_only,1,
287,2261,33982,left_only,1,
288,2263,7778,left_only,1,
289,2286,26672,left_only,1,
290,2290,183,left_only,1,
291,2298,299,left_only,1,
292,2302,19519,left_only,1,
293,2303,27606,left_only,1,
294,2312,3219,left_only,1,
295,2316,9558,left_only,1,
296,2326,30452,both,,
297,2350,22178,left_only,1,
298,2357,3564,left_only,1,
299,2397,9209,left_only,1,
300,2398,1414,both,,
301,2401,17548,left_only,1,
302,2401,33677,left_only,1,
303,2416,10195,left_only,1,
304,2417,31714,left_only,1,
305,2431,29985,left_only,1,
306,2442,27121,left_only,1,
307,2446,13045,left_only,1,
308,2459,23889,left_only,1,
309,2478,15219,left_only,1,
310,2491,28554,left_only,1,
311,2501,13231,left_only,1,
312,2524,21327,left_only,1,
313,2529,11793,left_only,1,
314,2548,23331,left_only,1,
315,2558,16943,left_only,1,
316,2568,3271,left_only,1,
317,2571,18223,left_only,1,
318,2577,12543,left_only,1,
319,2616,9532,left_only,1,
320,2626,22803,left_only,1,
321,2629,12157,left_only,1,
322,2646,19423,both,,
323,2646,31284,left_only,1,
324,2647,11175,left_only,1,
325,2660,17638,left_only,1,
326,2668,21603,left_only,1,
327,2669,30352,left_only,1,
328,2684,19815,left_only,1,
329,2700,8165,left_only,1,
330,2709,27881,left_only,1,
331,2726,4887,left_only,1,
332,2742,23100,left_only,1,
333,2760,18132,left_only,1,
334,2762,23492,left_only,1,
335,2767,20107,left_only,1,
336,2774,1435,left_only,1,
337,2808,34312,left_only,1,
338,2813,19042,left_only,1,
339,2818,34410,left_only,1,
340,2830,28887,left_only,1,
341,2834,11666,left_only,1,
342,2887,15872,left_only,1,
343,2901,4211,left_only,1,
344,2914,7583,left_only,1,
345,2921,31961,left_only,1,
346,2954,9303,left_only,1,
347,2955,10209,left_only,1,
348,2962,27746,left_only,1,
349,2972,4889,left_only,1,
350,2972,20131,left_only,1,
351,2981,6378,left_only,1,
352,2996,12777,left_only,1,
353,2996,14838,left_only,1,
354,3008,10142,left_only,1,
355,3020,12939,left_only,1,
356,3022,16022,left_only,1,
357,3027,29318,left_only,1,
358,3034,10792,left_only,1,
359,3045,21641,left_only,1,
360,3050,8036,left_only,1,
361,3051,15562,left_only,1,
362,3059,27870,left_only,1,
363,3062,5762,left_only,1,
364,3062,11822,left_only,1,
365,3068,29185,left_only,1,
366,3070,18098,left_only,1,
367,3077,8430,left_only,1,
368,3085,1583,left_only,1,
369,3088,29675,left_only,1,
370,3090,27574,left_only,1,
371,3101,15796,left_only,1,
372,3112,31634,left_only,1,
373,3118,22315,left_only,1,
374,3131,6847,left_only,1,
375,3131,27589,left_only,1,
376,3150,19087,left_only,1,
377,3206,17333,left_only,1,
378,3224,3743,both,,
379,3229,27852,left_only,1,
380,3236,2699,left_only,1,
381,3254,28241,left_only,1,
382,3267,33287,left_only,1,
383,3269,34195,left_only,1,
384,3273,23879,left_only,1,
385,3279,16596,left_only,1,
386,3288,32808,left_only,1,
387,3290,33776,left_only,1,
388,3295,5023,left_only,1,
389,3308,33874,left_only,1,
390,3315,4760,left_only,1,
391,3316,6143,left_only,1,
392,3343,449,left_only,1,
393,3343,13070,left_only,1,
394,3344,34441,left_only,1,
395,3346,34126,left_only,1,
396,3354,1798,left_only,1,
397,3360,33337,left_only,1,
398,3370,13113,left_only,1,
399,3379,33687,left_only,1,
400,3383,13736,left_only,1,
401,3384,1675,left_only,1,
402,3386,23035,left_only,1,
403,3403,9715,left_only,1,
404,3407,2020,left_only,1,
405,3410,29930,left_only,1,
406,3413,33716,left_only,1,
407,3415,13614,left_only,1,
408,3418,926,left_only,1,
409,3419,1684,left_only,1,
410,3426,27811,left_only,1,
411,3428,24899,left_only,1,
412,3442,10575,left_only,1,
413,3451,448,left_only,1,
414,3451,28925,left_only,1,
415,3460,18618,left_only,1,
416,3472,33952,left_only,1,
417,3480,1966,left_only,1,
418,3483,26331,left_only,1,
419,3506,16258,left_only,1,
420,3508,13614,left_only,1,
421,3509,15625,left_only,1,
422,3509,31628,left_only,1,
423,3516,32951,left_only,1,
424,3517,33720,left_only,1,
425,3526,25821,left_only,1,
426,3550,19478,left_only,1,
427,3565,17690,left_only,1,
428,3567,17914,left_only,1,
429,3568,5907,left_only,1,
430,3568,28368,left_only,1,
431,3573,8104,left_only,1,
432,3581,21770,left_only,1,
433,3593,18224,left_only,1,
434,3604,9418,left_only,1,
435,3605,12486,left_only,1,
436,3613,9206,left_only,1,
437,3626,33909,left_only,1,
438,3628,4974,left_only,1,
439,3634,25257,left_only,1,
440,3635,3646,left_only,1,
441,3635,31264,left_only,1,
442,3643,5553,left_only,1,
443,3648,10488,left_only,1,
444,3668,34519,left_only,1,
445,3670,22003,left_only,1,
446,3685,12159,left_only,1,
447,3685,19185,left_only,1,
448,3686,31921,left_only,1,
449,3707,8552,left_only,1,
450,3712,20812,left_only,1,
451,3714,20944,left_only,1,
452,3737,22045,left_only,1,
453,3776,8905,left_only,1,
454,3782,1456,left_only,1,
455,3790,1233,left_only,1,
456,3793,26846,left_only,1,
457,3801,20507,left_only,1,
458,3809,27972,left_only,1,
459,3819,229,left_only,1,
460,3824,13750,left_only,1,
461,3835,10480,left_only,1,
462,3836,32417,left_only,1,
463,3843,12229,left_only,1,
464,3862,10665,left_only,1,
465,3869,31007,left_only,1,
466,3875,4528,left_only,1,
467,3888,29109,left_only,1,
468,3889,31540,left_only,1,
469,3896,16565,left_only,1,
470,3901,26302,left_only,1,
471,3902,18751,left_only,1,
472,3902,30164,left_only,1,
473,3903,20690,left_only,1,
474,3917,33668,left_only,1,
475,3919,12210,left_only,1,
476,3920,16196,left_only,1,
477,3923,22752,left_only,1,
478,3957,7769,left_only,1,
479,3957,31719,left_only,1,
480,3962,2893,left_only,1,
481,3979,3582,left_only,1,
482,3983,19207,both,,
483,3997,538,left_only,1,
484,4001,20470,left_only,1,
485,4011,1623,left_only,1,
486,4011,30894,left_only,1,
487,4012,25486,left_only,1,
488,4031,31288,left_only,1,
