0.0,0.0.1,0.0.2,0.0.3
30216,8550,1,1
33348,8550,1,1
25447,8550,1,1
4191,8550,1,1
1588,8550,1,1
30216,769,1,1
25447,769,1,1
4191,769,1,1
1971,769,1,1
1588,769,1,1
30216,829,1,1
4191,829,1,1
30216,7330,1,1
4191,7330,1,1
5925,34494,1,1
13024,30607,1,1
27250,22983,1,1
11094,22983,1,1
9158,22983,1,1
27250,19379,1,1
27250,956,1,1
27250,7161,1,1
27250,6735,1,1
22081,6735,1,1
27250,21575,1,1
27250,3568,1,1
9158,3568,1,1
18318,3568,1,1
11094,27247,1,1
26005,27247,1,1
5150,27247,1,1
11094,9163,1,1
34339,31433,1,1
22057,31433,1,1
25674,31433,1,1
28143,31433,1,1
19381,31433,1,1
28326,31433,1,1
22423,29608,1,1
29147,32738,1,1
26340,32738,1,1
1856,32738,1,1
11094,14207,1,1
9158,14207,1,1
33230,14207,1,1
28143,14207,1,1
31979,14207,1,1
25038,14207,1,1
9158,2738,1,1
26620,2738,1,1
4945,2738,1,1
19431,10615,1,1
9562,10615,1,1
28991,20255,1,1
21769,20255,1,1
28071,20255,1,1
21804,20255,1,1
21267,20255,1,1
9562,20255,1,1
8556,20255,1,1
26912,20255,1,1
14756,20255,1,1
21804,9224,1,1
21769,9224,1,1
28071,9224,1,1
21267,9224,1,1
21769,7128,1,1
21804,7128,1,1
28071,7128,1,1
21267,7128,1,1
21769,20262,1,1
28071,20262,1,1
21804,20262,1,1
21267,20262,1,1
21769,17611,1,1
34339,17611,1,1
19914,17611,1,1
29638,17611,1,1
25350,17611,1,1
15309,17611,1,1
23570,17611,1,1
24206,17611,1,1
28071,17611,1,1
21804,17611,1,1
21267,17611,1,1
14751,17611,1,1
32196,17611,1,1
21328,17611,1,1
19431,17611,1,1
21769,29562,1,1
28071,29562,1,1
21804,29562,1,1
21267,29562,1,1
21769,34223,1,1
28071,34223,1,1
21804,34223,1,1
21267,34223,1,1
21769,31841,1,1
28071,31841,1,1
16322,31841,1,1
26912,31841,1,1
9352,31841,1,1
21804,31841,1,1
21267,31841,1,1
21769,32612,1,1
28071,32612,1,1
21804,32612,1,1
21267,32612,1,1
21769,30580,1,1
28071,30580,1,1
21804,30580,1,1
21267,30580,1,1
33309,8023,1,1
536,8023,1,1
9223,8023,1,1
1809,8023,1,1
22057,8023,1,1
26912,8023,1,1
75,32268,1,1
15967,32268,1,1
2774,32268,1,1
14756,32268,1,1
14756,5536,1,1
9223,5536,1,1
6754,5536,1,1
31271,5536,1,1
11094,25457,1,1
8556,25457,1,1
25038,25457,1,1
33230,25457,1,1
28143,25457,1,1
31979,25457,1,1
30270,25403,1,1
9793,25403,1,1
29347,25403,1,1
30270,29177,1,1
9793,29177,1,1
29347,29177,1,1
30270,12595,1,1
9793,12595,1,1
29347,12595,1,1
34676,12595,1,1
3943,12595,1,1
5322,12595,1,1
28326,12595,1,1
30270,3305,1,1
9793,3305,1,1
29347,3305,1,1
9158,1244,1,1
30270,1244,1,1
9793,1244,1,1
29347,1244,1,1
30270,7564,1,1
9793,7564,1,1
29347,7564,1,1
1313,7564,1,1
30270,8316,1,1
9793,8316,1,1
29347,8316,1,1
29347,30633,1,1
30270,30633,1,1
9793,30633,1,1
29347,31214,1,1
30270,31214,1,1
9793,31214,1,1
29347,23646,1,1
30270,23646,1,1
9793,23646,1,1
29347,32216,1,1
30270,32216,1,1
9793,32216,1,1
34676,32216,1,1
3943,32216,1,1
29347,6765,1,1
30270,6765,1,1
9793,6765,1,1
29347,5128,1,1
30270,5128,1,1
9793,5128,1,1
6954,5128,1,1
29347,18059,1,1
9793,18059,1,1
30270,18059,1,1
7319,18059,1,1
16322,18059,1,1
9352,18059,1,1
29347,30,1,1
9793,30,1,1
30270,30,1,1
4191,11415,1,1
29347,11415,1,1
9793,11415,1,1
30270,11415,1,1
29347,26729,1,1
9793,26729,1,1
30270,26729,1,1
29347,7867,1,1
9793,7867,1,1
30270,7867,1,1
29347,34148,1,1
9793,34148,1,1
30270,34148,1,1
29347,20164,1,1
9793,20164,1,1
30270,20164,1,1
