0,1,Exist,Pred,True,Labels
52,21747,left_only,1,,Pred
59,19985,left_only,1,,Pred
62,31783,left_only,1,,Pred
63,17527,left_only,1,,Pred
69,18344,left_only,1,,Pred
79,29354,left_only,1,,Pred
90,33654,left_only,1,,Pred
93,26057,left_only,1,,Pred
95,31435,left_only,1,,Pred
110,14405,left_only,1,,Pred
118,23654,left_only,1,,Pred
124,20873,left_only,1,,Pred
126,12245,left_only,1,,Pred
130,4799,left_only,1,,Pred
148,19547,left_only,1,,Pred
155,2995,left_only,1,,Pred
167,26376,left_only,1,,Pred
172,2853,left_only,1,,Pred
182,10225,left_only,1,,Pred
185,7263,left_only,1,,Pred
189,17036,left_only,1,,Pred
195,25546,left_only,1,,Pred
200,11027,left_only,1,,Pred
211,33326,left_only,1,,Pred
216,12732,left_only,1,,Pred
222,10382,left_only,1,,Pred
229,31226,left_only,1,,Pred
237,15370,left_only,1,,Pred
237,28986,left_only,1,,Pred
250,7596,left_only,1,,Pred
253,5983,left_only,1,,Pred
261,4458,left_only,1,,Pred
269,7451,left_only,1,,Pred
280,16980,both,1,1,Both
280,31715,both,1,1,Both
287,14365,left_only,1,,Pred
297,11333,left_only,1,,Pred
302,33526,left_only,1,,Pred
303,21896,left_only,1,,Pred
306,19770,left_only,1,,Pred
314,14276,left_only,1,,Pred
322,3245,left_only,1,,Pred
325,9854,left_only,1,,Pred
327,28871,left_only,1,,Pred
351,4320,left_only,1,,Pred
351,27341,left_only,1,,Pred
351,30552,left_only,1,,Pred
360,18997,left_only,1,,Pred
370,10426,left_only,1,,Pred
377,12520,left_only,1,,Pred
384,6172,left_only,1,,Pred
385,33852,left_only,1,,Pred
408,24911,left_only,1,,Pred
411,15891,left_only,1,,Pred
416,10948,left_only,1,,Pred
425,5435,left_only,1,,Pred
432,11738,left_only,1,,Pred
441,19600,left_only,1,,Pred
442,17874,left_only,1,,Pred
458,31369,left_only,1,,Pred
461,10485,left_only,1,,Pred
462,31152,left_only,1,,Pred
485,14108,left_only,1,,Pred
501,28833,left_only,1,,Pred
521,20723,left_only,1,,Pred
525,25560,left_only,1,,Pred
526,12450,left_only,1,,Pred
526,20296,left_only,1,,Pred
535,31396,left_only,1,,Pred
539,22798,left_only,1,,Pred
563,641,left_only,1,,Pred
569,17092,left_only,1,,Pred
573,30450,left_only,1,,Pred
577,25952,left_only,1,,Pred
578,9946,left_only,1,,Pred
588,15471,left_only,1,,Pred
589,16097,left_only,1,,Pred
590,20765,left_only,1,,Pred
595,20994,left_only,1,,Pred
602,11144,left_only,1,,Pred
615,2588,left_only,1,,Pred
619,9247,left_only,1,,Pred
627,3176,left_only,1,,Pred
627,13472,left_only,1,,Pred
646,9638,left_only,1,,Pred
654,15270,both,1,1,Both
654,25567,both,1,1,Both
654,29566,both,1,1,Both
666,20420,left_only,1,,Pred
675,33614,left_only,1,,Pred
685,20417,left_only,1,,Pred
685,22460,left_only,1,,Pred
687,27676,left_only,1,,Pred
694,26446,left_only,1,,Pred
701,8358,left_only,1,,Pred
707,5184,left_only,1,,Pred
708,12128,left_only,1,,Pred
717,30160,left_only,1,,Pred
741,34025,left_only,1,,Pred
750,29726,left_only,1,,Pred
791,8171,left_only,1,,Pred
793,19104,left_only,1,,Pred
801,20145,left_only,1,,Pred
802,9094,left_only,1,,Pred
812,27061,left_only,1,,Pred
814,19506,left_only,1,,Pred
838,10226,left_only,1,,Pred
857,16230,left_only,1,,Pred
861,30880,left_only,1,,Pred
863,7391,left_only,1,,Pred
864,11666,left_only,1,,Pred
865,135,left_only,1,,Pred
865,10160,left_only,1,,Pred
866,11986,left_only,1,,Pred
867,16168,left_only,1,,Pred
875,20480,left_only,1,,Pred
883,18514,left_only,1,,Pred
890,5842,left_only,1,,Pred
902,27826,left_only,1,,Pred
904,17025,left_only,1,,Pred
907,30520,left_only,1,,Pred
939,11224,left_only,1,,Pred
949,31706,left_only,1,,Pred
958,1249,left_only,1,,Pred
967,10649,left_only,1,,Pred
970,18746,left_only,1,,Pred
977,17965,left_only,1,,Pred
986,14893,left_only,1,,Pred
986,22290,left_only,1,,Pred
988,31182,left_only,1,,Pred
1007,2145,left_only,1,,Pred
1009,14947,left_only,1,,Pred
1017,34211,left_only,1,,Pred
1024,32049,left_only,1,,Pred
1044,1000,left_only,1,,Pred
1046,13663,left_only,1,,Pred
1074,26726,left_only,1,,Pred
1082,16206,left_only,1,,Pred
1090,33913,left_only,1,,Pred
1099,30505,left_only,1,,Pred
1107,13450,left_only,1,,Pred
1118,14265,left_only,1,,Pred
1134,33928,left_only,1,,Pred
1143,11010,left_only,1,,Pred
1183,6860,left_only,1,,Pred
1185,26391,left_only,1,,Pred
1193,8927,left_only,1,,Pred
1199,21758,left_only,1,,Pred
1226,9990,left_only,1,,Pred
1227,12661,left_only,1,,Pred
1227,15721,left_only,1,,Pred
1231,5015,left_only,1,,Pred
1235,12446,left_only,1,,Pred
1242,27881,left_only,1,,Pred
1248,24409,left_only,1,,Pred
1250,816,left_only,1,,Pred
1253,8696,left_only,1,,Pred
1255,20111,left_only,1,,Pred
1272,2878,left_only,1,,Pred
1273,1367,left_only,1,,Pred
1296,25012,both,1,1,Both
